doi,publisher,journal,open_access,uob_is_corresponding,year
10.1002/ffj.3822,Wiley,Flavour and Fragrance Journal,hybrid,TRUE,2024
10.1002/for.2915,Wiley,Journal of Forecasting,gold,TRUE,2022
10.1002/gps.5614,Wiley,International Journal of Geriatric Psychiatry,green,FALSE,2021
10.1002/gps.5627,Wiley,International Journal of Geriatric Psychiatry,hybrid,TRUE,2021
10.1002/gps.5688,Wiley,International Journal of Geriatric Psychiatry,hybrid,FALSE,2022
10.1002/gps.5708,Wiley,International Journal of Geriatric Psychiatry,green,TRUE,2022
10.1002/gps.5805,Wiley,International Journal of Geriatric Psychiatry,hybrid,FALSE,2022
10.1002/gps.5868,Wiley,International Journal of Geriatric Psychiatry,hybrid,FALSE,2023
10.1002/gps.5887,Wiley,International Journal of Geriatric Psychiatry,hybrid,TRUE,2023
10.1002/gps.5977,Wiley,International Journal of Geriatric Psychiatry,hybrid,FALSE,2023
10.1002/gps.6048,Wiley,International Journal of Geriatric Psychiatry,hybrid,FALSE,2024
10.1002/gps.70028,Wiley,International Journal of Geriatric Psychiatry,bronze,FALSE,2024
10.1002/hlca.202300064,Wiley,Helvetica Chimica Acta,hybrid,TRUE,2023
10.1002/hpm.3338,Wiley,The International Journal of Health Planning and Management,closed,FALSE,2021
10.1002/hpm.3471,Wiley,The International Journal of Health Planning and Management,closed,TRUE,2022
10.1002/ijc.34764,Wiley,International Journal of Cancer,hybrid,FALSE,2023
10.1002/ijfe.2538,Wiley,International Journal of Finance & Economics,green,FALSE,2021
10.1002/ijfe.2650,Wiley,International Journal of Finance & Economics,green,FALSE,2022
10.1002/ijfe.2697,Wiley,International Journal of Finance & Economics,hybrid,TRUE,2022
10.1002/ijfe.2765,Wiley,International Journal of Finance & Economics,hybrid,TRUE,2022
10.1002/ijfe.2817,Wiley,International Journal of Finance & Economics,hybrid,TRUE,2023
10.1002/ijfe.2906,Wiley,International Journal of Finance & Economics,hybrid,TRUE,2023
10.1002/ijfe.2908,Wiley,International Journal of Finance & Economics,hybrid,FALSE,2023
10.1002/ijfe.2942,Wiley,International Journal of Finance & Economics,hybrid,FALSE,2024
10.1002/ijfe.3113,Wiley,International Journal of Finance & Economics,closed,FALSE,2025
10.1002/ijfe.3126,Wiley,International Journal of Finance & Economics,hybrid,FALSE,2025
10.1002/iub.2619,Wiley,IUBMB Life,hybrid,FALSE,2022
10.1002/jbm.b.35106,Wiley,Journal of Biomedical Materials Research Part B Applied Biomaterials,closed,FALSE,2022
10.1002/jcop.22659,Wiley,Journal of Community Psychology,green,FALSE,2021
10.1002/jcop.22822,Wiley,Journal of Community Psychology,green,TRUE,2022
10.1002/jcop.22992,Wiley,Journal of Community Psychology,hybrid,TRUE,2023
10.1002/jcop.23066,Wiley,Journal of Community Psychology,hybrid,FALSE,2023
10.1002/jid.3657,Wiley,Journal of International Development,hybrid,TRUE,2022
10.1002/jid.3920,Wiley,Journal of International Development,hybrid,TRUE,2024
10.1002/jmrs.523,Wiley,Journal of Medical Radiation Sciences,gold,FALSE,2021
10.1002/jmrs.569,Wiley,Journal of Medical Radiation Sciences,gold,FALSE,2022
10.1002/jmrs.633,Wiley,Journal of Medical Radiation Sciences,gold,TRUE,2022
10.1002/jrs.6102,Wiley,Journal of Raman Spectroscopy,closed,FALSE,2021
10.1002/jrs.6111,Wiley,Journal of Raman Spectroscopy,green,FALSE,2021
10.1002/jrs.6118,Wiley,Journal of Raman Spectroscopy,closed,FALSE,2021
10.1002/jrs.6143,Wiley,Journal of Raman Spectroscopy,closed,FALSE,2021
10.1002/jrs.6186,Wiley,Journal of Raman Spectroscopy,closed,FALSE,2021
10.1002/jrs.6192,Wiley,Journal of Raman Spectroscopy,closed,TRUE,2021
10.1002/jrs.6214,Wiley,Journal of Raman Spectroscopy,closed,FALSE,2021
10.1002/jrs.6220,Wiley,Journal of Raman Spectroscopy,closed,FALSE,2021
10.1002/jrs.6226,Wiley,Journal of Raman Spectroscopy,closed,FALSE,2021
10.1002/jrs.6243,Wiley,Journal of Raman Spectroscopy,closed,FALSE,2021
10.1002/jrs.6257,Wiley,Journal of Raman Spectroscopy,closed,TRUE,2021
10.1002/jrs.6270,Wiley,Journal of Raman Spectroscopy,closed,FALSE,2021
10.1002/jrs.6271,Wiley,Journal of Raman Spectroscopy,bronze,FALSE,2021
10.1002/jrs.6295,Wiley,Journal of Raman Spectroscopy,closed,FALSE,2022
10.1002/jrs.6471,Wiley,Journal of Raman Spectroscopy,closed,FALSE,2022
10.1002/jrs.6487,Wiley,Journal of Raman Spectroscopy,closed,FALSE,2022
10.1002/jrs.6777,Wiley,Journal of Raman Spectroscopy,closed,FALSE,2025
10.1002/jsc.2651,Wiley,Strategic Change,hybrid,TRUE,2025
10.1002/jsde.12856,Wiley,Journal of Surfactants and Detergents,closed,FALSE,2025
10.1002/mame.202200279,Wiley,Macromolecular Materials and Engineering,hybrid,TRUE,2022
10.1002/mar.21436,Wiley,Psychology and Marketing,green,FALSE,2021
10.1002/mar.21471,Wiley,Psychology and Marketing,closed,TRUE,2021
10.1002/marc.202300692,Wiley,Macromolecular Rapid Communications,hybrid,FALSE,2024
10.1002/mde.3691,Wiley,Managerial and Decision Economics,green,TRUE,2022
10.1002/met.1992,Wiley,Meteorological Applications,gold,FALSE,2021
10.1002/mmce.22960,Hindawi,International Journal of RF and Microwave Computer-Aided Engineering,gold,FALSE,2021
10.1002/mmce.23337,Hindawi,International Journal of RF and Microwave Computer-Aided Engineering,gold,TRUE,2022
10.1002/mop.33943,Wiley,Microwave and Optical Technology Letters,closed,FALSE,2023
10.1002/msc.1809,Wiley,Musculoskeletal Care,hybrid,TRUE,2023
10.1002/nem.2159,Wiley,International Journal of Network Management,green,FALSE,2021
10.1002/nop2.1434,Wiley,Nursing Open,gold,TRUE,2022
10.1002/pa.2849,Wiley,Journal of Public Affairs,closed,FALSE,2023
10.1002/pc.27283,Wiley,Polymer Composites,closed,TRUE,2023
10.1002/pdi.2384,Wiley,Practical Diabetes,bronze,FALSE,2022
10.1002/pol.20230166,Wiley,Journal of Polymer Science,closed,FALSE,2023
10.1002/prep.202000117,Wiley,"Propellants, Explosives, Pyrotechnics",closed,FALSE,2021
10.1002/psb.1961,Wiley,Prescriber,closed,FALSE,2022
10.1002/qre.2947,Wiley,Quality and Reliability Engineering International,hybrid,TRUE,2021
10.1002/qre.3011,Wiley,Quality and Reliability Engineering International,closed,FALSE,2021
10.1002/rcm.9305,Wiley,Rapid Communications in Mass Spectrometry,hybrid,TRUE,2022
10.1002/saj2.20558,Wiley,Soil Science Society of America Journal,hybrid,FALSE,2023
10.1002/ski2.369,Oxford University Press,Skin Health and Disease,gold,FALSE,2024
10.1002/ski2.399,Oxford University Press,Skin Health and Disease,gold,FALSE,2024
10.1002/slct.202103802,Wiley,ChemistrySelect,closed,FALSE,2022
10.1002/slct.202405060,Wiley,ChemistrySelect,closed,FALSE,2025
10.1002/smi.3168,Wiley,Stress and Health,closed,TRUE,2022
10.1002/smll.202105255,Wiley,Small,closed,FALSE,2022
10.1002/smll.202206258,Wiley,Small,closed,FALSE,2022
10.1002/tie.22109,Wiley,Thunderbird International Business Review,closed,TRUE,2021
10.1002/tie.22263,Wiley,Thunderbird International Business Review,green,FALSE,2022
10.1002/tie.22396,Wiley,Thunderbird International Business Review,hybrid,TRUE,2024
10.1002/trc2.12316,Wiley,Alzheimer's & Dementia: Translational Research & Clinical Interventions,gold,FALSE,2022
10.1002/we.2625,Wiley,Wind Energy,gold,TRUE,2021
10.1002/zamm.202000271,Wiley,ZAMM ‐ Journal of Applied Mathematics and Mechanics / Zeitschrift für Angewandte Mathematik und Mechanik,closed,FALSE,2022
10.1007/s00018-022-04204-6,SpringerNature,Cellular and Molecular Life Sciences,gold,TRUE,2022
10.1007/s00127-021-02030-y,SpringerNature,Social Psychiatry and Psychiatric Epidemiology,hybrid,FALSE,2021
10.1007/s00127-021-02084-y,SpringerNature,Social Psychiatry and Psychiatric Epidemiology,hybrid,FALSE,2021
10.1007/s00127-021-02165-y,SpringerNature,Social Psychiatry and Psychiatric Epidemiology,hybrid,FALSE,2021
10.1007/s00170-021-07028-z,SpringerNature,The International Journal of Advanced Manufacturing Technology,hybrid,TRUE,2021
10.1007/s00170-021-07252-7,SpringerNature,The International Journal of Advanced Manufacturing Technology,hybrid,TRUE,2021
10.1007/s00170-022-10553-0,SpringerNature,The International Journal of Advanced Manufacturing Technology,hybrid,TRUE,2022
10.1007/s00170-024-14078-6,SpringerNature,The International Journal of Advanced Manufacturing Technology,hybrid,TRUE,2024
10.1007/s00191-022-00804-4,SpringerNature,Journal of Evolutionary Economics,hybrid,TRUE,2022
10.1007/s00203-020-02129-x,SpringerNature,Archives of Microbiology,closed,FALSE,2021
10.1007/s00203-021-02649-0,SpringerNature,Archives of Microbiology,hybrid,FALSE,2021
10.1007/s00203-022-03104-4,SpringerNature,Archives of Microbiology,hybrid,FALSE,2022
10.1007/s00204-021-03010-6,SpringerNature,Archives of Toxicology,hybrid,TRUE,2021
10.1007/s00210-024-03454-4,SpringerNature,Naunyn-Schmiedeberg's Archives of Pharmacology,hybrid,FALSE,2024
10.1007/s00210-024-03586-7,SpringerNature,Naunyn-Schmiedeberg's Archives of Pharmacology,hybrid,FALSE,2024
10.1007/s00221-021-06267-6,SpringerNature,Experimental Brain Research,hybrid,TRUE,2021
10.1007/s00291-022-00691-y,SpringerNature,OR Spectrum,hybrid,TRUE,2022
10.1007/s00291-023-00733-z,SpringerNature,OR Spectrum,closed,FALSE,2023
10.1007/s00339-022-06339-6,SpringerNature,Applied Physics A,closed,FALSE,2023
10.1007/s00339-023-06427-1,SpringerNature,Applied Physics A,closed,FALSE,2023
10.1007/s00339-023-07224-6,SpringerNature,Applied Physics A,closed,FALSE,2024
10.1007/s00366-022-01602-z,SpringerNature,Engineering with Computers,closed,FALSE,2022
10.1007/s00366-024-02086-9,SpringerNature,Engineering with Computers,closed,FALSE,2024
10.1007/s00371-020-01960-z,SpringerNature,The Visual Computer,hybrid,TRUE,2021
10.1007/s00371-021-02182-7,SpringerNature,The Visual Computer,hybrid,TRUE,2021
10.1007/s00391-022-02058-y,SpringerNature,Zeitschrift für Gerontologie und Geriatrie,closed,FALSE,2022
10.1007/s00403-021-02291-2,SpringerNature,Archives of Dermatological Research,closed,FALSE,2021
10.1007/s00419-022-02317-9,SpringerNature,Archive of Applied Mechanics,closed,FALSE,2022
10.1007/s00425-024-04474-3,SpringerNature,Planta,hybrid,FALSE,2024
10.1007/s00426-020-01471-5,SpringerNature,Psychological Research,hybrid,FALSE,2021
10.1007/s00426-021-01632-0,SpringerNature,Psychological Research,hybrid,TRUE,2022
10.1007/s00500-021-05817-y,SpringerNature,Soft Computing,closed,FALSE,2021
10.1007/s00500-021-05949-1,SpringerNature,Soft Computing,closed,TRUE,2021
10.1007/s00500-021-05998-6,SpringerNature,Soft Computing,bronze,TRUE,2021
10.1007/s00500-021-06075-8,SpringerNature,Soft Computing,hybrid,FALSE,2021
10.1007/s00500-023-08553-7,SpringerNature,Soft Computing,bronze,FALSE,2023
10.1007/s00500-023-09254-x,SpringerNature,Soft Computing,hybrid,TRUE,2023
10.1007/s00521-021-05726-z,SpringerNature,Neural Computing and Applications,hybrid,TRUE,2021
10.1007/s00530-023-01098-7,SpringerNature,Multimedia Systems,bronze,FALSE,2023
10.1007/s10006-025-01337-3,SpringerNature,Oral and Maxillofacial Surgery,closed,FALSE,2025
10.1007/s10098-024-02950-8,SpringerNature,Clean Technologies and Environmental Policy,closed,TRUE,2024
10.1007/s10118-020-2465-z,SpringerNature,Chinese Journal of Polymer Science (English Edition),closed,FALSE,2021
10.1007/s10163-023-01776-8,SpringerNature,Journal of Material Cycles and Waste Management,closed,FALSE,2023
10.1007/s10257-021-00527-2,SpringerNature,Information Systems and e-Business Management,hybrid,FALSE,2021
10.1007/s10278-023-00859-0,SpringerNature,Journal of Imaging Informatics in Medicine,hybrid,TRUE,2023
10.1007/s10389-021-01519-9,SpringerNature,Journal of Public Health: From Theory to Practice,closed,FALSE,2021
10.1007/s10389-021-01676-x,SpringerNature,Journal of Public Health: From Theory to Practice,hybrid,TRUE,2021
10.1007/s10389-021-01679-8,SpringerNature,Journal of Public Health: From Theory to Practice,hybrid,TRUE,2021
10.1007/s10389-025-02417-0,SpringerNature,Journal of Public Health: From Theory to Practice,hybrid,TRUE,2025
10.1007/s10461-025-04648-4,SpringerNature,AIDS and Behavior,hybrid,TRUE,2025
10.1007/s10479-020-03514-x,SpringerNature,Annals of Operations Research,closed,FALSE,2022
10.1007/s10479-020-03812-4,SpringerNature,Annals of Operations Research,closed,FALSE,2024
10.1007/s10479-020-03922-z,SpringerNature,Annals of Operations Research,hybrid,FALSE,2021
10.1007/s10479-022-04801-5,SpringerNature,Annals of Operations Research,hybrid,TRUE,2022
10.1007/s10479-022-04874-2,SpringerNature,Annals of Operations Research,hybrid,TRUE,2022
10.1007/s10479-022-04997-6,SpringerNature,Annals of Operations Research,bronze,FALSE,2022
10.1007/s10479-023-05254-0,SpringerNature,Annals of Operations Research,hybrid,TRUE,2023
10.1007/s10479-023-05289-3,SpringerNature,Annals of Operations Research,closed,FALSE,2023
10.1007/s10479-023-05404-4,SpringerNature,Annals of Operations Research,hybrid,TRUE,2023
10.1007/s10479-023-05486-0,SpringerNature,Annals of Operations Research,hybrid,TRUE,2023
10.1007/s10479-023-05672-0,SpringerNature,Annals of Operations Research,hybrid,FALSE,2023
10.1007/s10479-023-05758-9,SpringerNature,Annals of Operations Research,closed,FALSE,2023
10.1007/s10489-021-02474-4,SpringerNature,Applied Intelligence,hybrid,FALSE,2021
10.1007/s10489-021-03126-3,SpringerNature,Applied Intelligence,closed,FALSE,2022
10.1007/s10516-023-09671-5,SpringerNature,Global Philosophy,green,TRUE,2023
10.1007/s10544-023-00652-4,SpringerNature,Biomedical Microdevices,closed,FALSE,2023
10.1007/s10551-021-04826-z,SpringerNature,Journal of Business Ethics,hybrid,TRUE,2021
10.1007/s10586-021-03389-y,SpringerNature,Cluster Computing,closed,FALSE,2021
10.1007/s10586-021-03514-x,SpringerNature,Cluster Computing,bronze,FALSE,2022
10.1007/s10614-023-10401-7,SpringerNature,Computational Economics,closed,FALSE,2023
10.1007/s10633-020-09797-6,SpringerNature,Documenta Ophthalmologica,closed,FALSE,2021
10.1007/s10633-020-09807-7,SpringerNature,Documenta Ophthalmologica,hybrid,TRUE,2021
10.1007/s10639-021-10845-0,SpringerNature,Education and Information Technologies,hybrid,FALSE,2022
10.1007/s10640-023-00801-6,SpringerNature,Environmental and Resource Economics,closed,FALSE,2023
10.1007/s10644-019-09260-w,SpringerNature,Economic Change and Restructuring,closed,TRUE,2021
10.1007/s10652-022-09835-8,SpringerNature,Environmental Fluid Mechanics,closed,FALSE,2022
10.1007/s10652-023-09910-8,SpringerNature,Environmental Fluid Mechanics,hybrid,TRUE,2023
10.1007/s10660-022-09569-1,SpringerNature,Electronic Commerce Research,hybrid,FALSE,2022
10.1007/s10661-023-11296-5,SpringerNature,Environmental Monitoring and Assessment,hybrid,TRUE,2023
10.1007/s10668-021-01836-9,SpringerNature,"Environment, Development and Sustainability",closed,FALSE,2022
10.1007/s10668-024-04557-x,SpringerNature,"Environment, Development and Sustainability",closed,FALSE,2024
10.1007/s10676-021-09614-x,SpringerNature,Ethics and Information Technology,closed,FALSE,2021
10.1007/s10706-022-02255-x,SpringerNature,Geotechnical and Geological Engineering,hybrid,TRUE,2022
10.1007/s10729-023-09634-7,SpringerNature,Health Care Management Science,hybrid,FALSE,2023
10.1007/s10762-020-00753-8,SpringerNature,"Journal of Infrared, Millimeter, and Terahertz Waves",hybrid,FALSE,2021
10.1007/s10765-024-03428-x,SpringerNature,International Journal of Thermophysics,closed,FALSE,2024
10.1007/s10796-020-10007-6,SpringerNature,Information Systems Frontiers,hybrid,TRUE,2021
10.1007/s10796-020-10040-5,SpringerNature,Information Systems Frontiers,hybrid,TRUE,2022
10.1007/s10796-020-10043-2,SpringerNature,Information Systems Frontiers,hybrid,FALSE,2022
10.1007/s10796-020-10056-x,SpringerNature,Information Systems Frontiers,hybrid,TRUE,2023
10.1007/s10796-020-10060-1,SpringerNature,Information Systems Frontiers,hybrid,TRUE,2022
10.1007/s10796-021-10104-0,SpringerNature,Information Systems Frontiers,hybrid,TRUE,2021
10.1007/s10796-021-10106-y,SpringerNature,Information Systems Frontiers,hybrid,FALSE,2021
10.1007/s10796-021-10145-5,SpringerNature,Information Systems Frontiers,closed,FALSE,2021
10.1007/s10796-021-10172-2,SpringerNature,Information Systems Frontiers,hybrid,FALSE,2021
10.1007/s10796-021-10182-0,SpringerNature,Information Systems Frontiers,hybrid,TRUE,2021
10.1007/s10796-021-10193-x,SpringerNature,Information Systems Frontiers,bronze,FALSE,2021
10.1007/s10796-022-10261-w,SpringerNature,Information Systems Frontiers,hybrid,FALSE,2022
10.1007/s10796-022-10271-8,SpringerNature,Information Systems Frontiers,bronze,FALSE,2022
10.1007/s10796-022-10279-0,SpringerNature,Information Systems Frontiers,hybrid,FALSE,2022
10.1007/s10796-022-10317-x,SpringerNature,Information Systems Frontiers,hybrid,TRUE,2022
10.1007/s10796-022-10346-6,SpringerNature,Information Systems Frontiers,bronze,FALSE,2022
10.1007/s10796-022-10360-8,SpringerNature,Information Systems Frontiers,hybrid,TRUE,2022
10.1007/s10796-023-10391-9,SpringerNature,Information Systems Frontiers,hybrid,FALSE,2023
10.1007/s10796-023-10412-7,SpringerNature,Information Systems Frontiers,bronze,TRUE,2023
10.1007/s10796-023-10439-w,SpringerNature,Information Systems Frontiers,hybrid,TRUE,2023
10.1007/s10796-023-10451-0,SpringerNature,Information Systems Frontiers,hybrid,TRUE,2023
10.1007/s10796-024-10521-x,SpringerNature,Information Systems Frontiers,hybrid,FALSE,2024
10.1007/s10796-024-10572-0,SpringerNature,Information Systems Frontiers,hybrid,FALSE,2025
10.1007/s10803-024-06509-w,SpringerNature,Journal of Autism and Developmental Disorders,closed,TRUE,2024
10.1007/s10834-021-09805-0,SpringerNature,Journal of Family and Economic Issues,closed,FALSE,2023
10.1007/s10853-020-05268-0,SpringerNature,Journal of Materials Science,closed,FALSE,2021
10.1007/s10853-021-06322-1,SpringerNature,Journal of Materials Science,closed,FALSE,2021
10.1007/s10853-024-09964-z,SpringerNature,Journal of Materials Science,closed,FALSE,2024
10.1007/s10882-021-09789-7,SpringerNature,Journal of Developmental and Physical Disabilities,hybrid,FALSE,2021
10.1007/s10882-023-09914-8,SpringerNature,Journal of Developmental and Physical Disabilities,hybrid,FALSE,2023
10.1007/s10903-021-01242-3,SpringerNature,Journal of Immigrant and Minority Health,hybrid,FALSE,2021
10.1007/s10926-024-10171-5,SpringerNature,Journal of Occupational Rehabilitation,hybrid,TRUE,2024
10.1007/s10926-024-10210-1,SpringerNature,Journal of Occupational Rehabilitation,hybrid,FALSE,2024
10.1007/s10926-024-10230-x,SpringerNature,Journal of Occupational Rehabilitation,closed,FALSE,2024
10.1007/s10933-021-00209-6,SpringerNature,Journal of Paleolimnology,hybrid,TRUE,2021
10.1007/s10953-021-01119-x,SpringerNature,Journal of Solution Chemistry,hybrid,TRUE,2022
10.1007/s10953-022-01186-8,SpringerNature,Journal of Solution Chemistry,hybrid,TRUE,2022
10.1007/s10961-024-10085-7,SpringerNature,The Journal of Technology Transfer,hybrid,TRUE,2024
10.1007/s10965-024-04096-z,SpringerNature,Journal of Polymer Research,closed,TRUE,2024
10.1007/s10995-023-03618-3,SpringerNature,Maternal and Child Health Journal,hybrid,TRUE,2023
